algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found

Random,384927102,17,42,294,11.2065718,False
Random,1298374650,7,9,54,3.0316820,False
Random,298374651,14,21,102,5.9021347,False
Random,1827364512,2,1,10,1.0124946,False
Random,938475612,23,45,225,11.9146452,False
Random,564738291,3,2,20,1.5545037,False
Random,2039485761,16,23,149,6.4100063,False
Random,1092837465,9,12,75,3.7284961,False
Random,847362915,15,25,88,7.0359650,False
Random,192837465,17,24,141,6.7686813,False
Random,374829105,21,60,393,15.8124342,False
Random,2837465920,5,4,31,1.6924295,False
Random,918273645,2,1,1,1.0977602,False
Random,657483920,12,11,65,3.4226654,False
Random,1203948576,24,41,230,10.9503288,False
Random,847362918,24,60,339,15.7541320,False
Random,938475610,4,3,21,1.5344353,False
Random,1230984756,11,10,55,3.2053771,False
Random,564738295,15,20,110,5.7166672,False
Random,2039485790,2,1,10,0.9684036,False
Random,918273640,31,40,238,10.7155077,False
Random,1298374610,4,3,21,1.5263550,False
Random,283746599,5,8,44,2.6894026,False
Random,192837460,9,12,57,3.6688473,False
Random,374829100,26,43,232,11.4352298,False
Random,847362900,3,2,11,1.2523899,False
Random,1092837400,10,10,64,3.1695867,False
Random,657483900,19,34,187,9.2235916,False
Random,1203948500,14,20,128,5.7119308,False
Random,2039485700,15,23,140,6.4204302,False

BFS,384927102,5563,101,830,25.8085873,True
BFS,1298374650,4642,60,456,15.5477805,True
BFS,298374651,8233,97,754,24.8131759,True
BFS,1827364512,4033,81,675,20.8369539,True
BFS,938475612,501,17,89,4.9270015,True
BFS,564738291,5875,101,317,25.8051279,True
BFS,2039485761,150,9,81,2.7658036,True
BFS,1092837465,8805,157,994,39.8299625,True
BFS,847362915,1799,43,70,11.2960157,True
BFS,192837465,154,10,28,3.0483506,True
BFS,374829105,479,20,29,5.5175819,True
BFS,2837465920,2437,43,259,11.2954059,True
BFS,918273645,7496,99,522,25.4176657,True
BFS,657483920,486,19,163,5.2797601,True
BFS,1203948576,1430,37,199,9.7881641,True
BFS,847362918,8043,109,505,27.9274490,True
BFS,938475610,6185,86,662,22.0594838,True
BFS,1230984756,8868,124,664,31.5729322,True
BFS,564738295,4596,71,395,18.3796422,True
BFS,2039485790,6382,76,652,19.5701685,True
BFS,918273640,1336,28,208,7.5435321,True
BFS,1298374610,412,17,152,4.7654488,True
BFS,283746599,1415,31,211,8.2817352,True
BFS,192837460,6677,81,306,20.8723509,True
BFS,374829100,5963,97,295,24.8149271,True
BFS,847362900,7899,113,527,28.8150082,True
BFS,1092837400,4234,69,528,17.8978462,True
BFS,657483900,5998,62,134,16.0530467,True
BFS,1203948500,5835,84,615,21.5610406,True
BFS,2039485700,1016,24,96,6.5304885,True

DFS,384927102,6601,1000,7525,251.2194099,False
DFS,1298374650,7171,1000,7678,251.2479136,False
DFS,298374651,8714,1000,8146,251.8287950,False
DFS,1827364512,2261,1000,8488,250.8844502,False
DFS,938475612,8720,1000,8074,251.6573923,False
DFS,564738291,6807,1000,8020,251.2137680,False
DFS,2039485761,5348,1000,8074,251.0141320,False
DFS,1092837465,167,167,1076,42.2767041,True
DFS,847362915,5547,1000,7498,250.9739592,False
DFS,192837465,6617,1000,7948,251.1895692,False
DFS,374829105,3771,1000,7984,250.7190082,False
DFS,2837465920,3406,1000,8407,250.7352197,False
DFS,918273645,6008,1000,8362,251.0604587,False
DFS,657483920,790,735,5973,184.3684068,True
DFS,1203948576,7830,1000,8011,251.6445460,False
DFS,847362918,8605,1000,8308,251.7590899,False
DFS,938475610,4574,1000,8245,250.8587730,False
DFS,1230984756,7846,1000,8308,251.7120750,False
DFS,564738295,90,89,539,22.7742243,True
DFS,2039485790,6719,1000,7840,251.1583207,False
DFS,918273640,2505,1000,7939,250.6706927,False
DFS,1298374610,3905,1000,7804,250.7802320,False
DFS,283746599,2659,1000,7570,250.5934277,False
DFS,192837460,5505,1000,8110,250.9165103,False
