algorithm_name,size,success_rate,avg_time,std_time,avg_state,std_state
backtracking,4,36.67,2.3e-05,4e-06,9.73,1.81
backtracking,8,90.0,0.000168,0.000103,172.37,94.86
backtracking,10,100.0,0.000785,0.000868,788.17,892.45
backtracking,12,100.0,0.001721,0.001593,1612.8,1677.75
backtracking,15,100.0,0.00944,0.009993,7502.2,8853.94
forward_checking,4,36.67,6e-05,1.5e-05,5.18,1.8
forward_checking,8,90.0,0.000381,0.000201,52.89,25.32
forward_checking,10,100.0,0.001166,0.001195,152.03,168.97
forward_checking,12,100.0,0.002661,0.002833,348.73,376.23
forward_checking,15,100.0,0.007918,0.008346,764.6,705.96
