name,seed,size,initial_board,final_board,duration,states

backtracking,384927102,4,"[?, ?, ?, 0]",null,2.7418136596679688e-05,16
backtracking,384927102,8,"[7, ?, ?, ?, ?, ?, 5, ?]",null,0.0005033016204833984,496
backtracking,384927102,10,"[3, ?, ?, ?, 2, ?, ?, ?, ?, ?]","[3, 1, 8, 5, 2, 9, 7, 0, 4, 6]",0.0030546188354492188,1678
backtracking,384927102,12,"[3, 1, ?, ?, ?, ?, ?, 6, ?, ?, ?, ?]","[3, 1, 4, 8, 11, 0, 10, 6, 2, 5, 7, 9]",0.001149892807006836,749
backtracking,384927102,15,"[5, 2, ?, ?, ?, ?, ?, 4, ?, ?, ?, ?, ?, ?, ?]","[5, 2, 0, 3, 11, 8, 12, 4, 1, 13, 6, 10, 14, 7, 9]",0.017926454544067383,10801

backtracking,1298374650,4,"[?, ?, ?, 0]",null,2.2172927856445312e-05,16
backtracking,1298374650,8,"[?, ?, ?, 7, ?, ?, ?, 5]","[2, 4, 1, 7, 0, 6, 3, 5]",0.00016307830810546875,238
backtracking,1298374650,10,"[?, 9, ?, ?, ?, ?, ?, ?, 3, ?]","[0, 9, 4, 6, 8, 2, 7, 1, 3, 5]",0.0002803802490234375,351
backtracking,1298374650,12,"[?, ?, ?, ?, ?, ?, ?, 1, ?, 11, ?, 2]","[0, 5, 8, 4, 7, 10, 3, 1, 6, 11, 9, 2]",0.0007152557373046875,577
backtracking,1298374650,15,"[?, ?, ?, ?, ?, ?, ?, ?, ?, 3, 7, ?, ?, ?, 12]","[0, 2, 6, 11, 9, 1, 5, 13, 10, 3, 7, 14, 4, 8, 12]",0.013125896453857422,9365

backtracking,298374651,4,"[?, ?, 0, ?]","[1, 3, 0, 2]",2.2649765014648438e-05,9
backtracking,298374651,8,"[?, ?, ?, 4, 1, ?, ?, ?]","[3, 5, 0, 4, 1, 7, 2, 6]",0.00029087066650390625,269
backtracking,298374651,10,"[?, ?, ?, ?, ?, 1, ?, ?, 8, ?]","[2, 7, 9, 0, 5, 1, 4, 6, 8, 3]",0.0008382797241210938,1004
backtracking,298374651,12,"[?, ?, ?, ?, ?, ?, 11, ?, 4, ?, ?, 5]","[0, 3, 1, 10, 7, 9, 11, 2, 4, 6, 8, 5]",0.0009348392486572266,1063
backtracking,298374651,15,"[?, ?, ?, ?, ?, ?, ?, ?, 6, ?, 9, ?, ?, 8, ?]","[0, 2, 4, 12, 7, 13, 10, 3, 6, 14, 9, 1, 5, 8, 11]",0.002166271209716797,2074

backtracking,1827364512,4,"[0, ?, ?, ?]",null,2.5987625122070312e-05,16
backtracking,1827364512,8,"[2, 7, ?, ?, ?, ?, ?, ?]","[2, 7, 3, 6, 0, 5, 1, 4]",0.0001659393310546875,161
backtracking,1827364512,10,"[0, 7, ?, ?, ?, ?, ?, ?, ?, ?]","[0, 7, 1, 6, 8, 2, 4, 9, 3, 5]",0.00020122528076171875,226
backtracking,1827364512,12,"[11, 1, ?, ?, ?, ?, ?, 6, ?, ?, ?, ?]","[11, 1, 3, 7, 10, 2, 9, 6, 4, 0, 8, 5]",0.0010993480682373047,873
backtracking,1827364512,15,"[6, ?, 0, ?, ?, ?, 5, ?, ?, ?, ?, ?, ?, ?, ?]","[6, 2, 0, 7, 11, 13, 5, 1, 4, 12, 10, 8, 14, 3, 9]",0.010924100875854492,8566

backtracking,938475612,4,"[?, ?, 3, ?]","[2, 0, 3, 1]",1.8596649169921875e-05,10
backtracking,938475612,8,"[?, 4, 1, ?, ?, ?, ?, ?]","[2, 4, 1, 7, 0, 6, 3, 5]",0.0001647472381591797,173
backtracking,938475612,10,"[?, 8, ?, ?, 1, ?, ?, ?, ?, ?]","[2, 8, 5, 7, 1, 3, 0, 6, 4, 9]",0.00052642822265625,504
backtracking,938475612,12,"[?, 6, 8, ?, 0, ?, ?, ?, ?, ?, ?, ?]","[1, 6, 8, 2, 0, 7, 10, 4, 11, 9, 5, 3]",0.0005192756652832031,421
backtracking,938475612,15,"[?, 13, 1, ?, ?, ?, 3, ?, ?, ?, ?, ?, ?, ?, ?]","[0, 13, 1, 5, 9, 11, 3, 8, 2, 12, 14, 7, 10, 4, 6]",0.02394270896911621,20455

backtracking,564738291,4,"[0, ?, ?, ?]",null,2.1219253540039062e-05,16
backtracking,564738291,8,"[6, ?, ?, 7, ?, ?, ?, ?]","[6, 0, 2, 7, 5, 3, 1, 4]",4.291534423828125e-05,37
backtracking,564738291,10,"[?, ?, ?, ?, ?, ?, 0, ?, 5, ?]","[1, 4, 6, 8, 3, 7, 0, 2, 5, 9]",0.000408172607421875,518
